2:57:00 PM  [main] 	Initializing Control Panel
2:57:00 PM  [main] 	Windows Version:  Enterprise  64-bit
2:57:00 PM  [main] 	XAMPP Version: 8.2.4
2:57:00 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
2:57:00 PM  [main] 	Running with Administrator rights - good!
2:57:00 PM  [main] 	XAMPP Installation Directory: "d:\vu\xampp\"
2:57:00 PM  [main] 	Checking for prerequisites
2:57:01 PM  [main] 	All prerequisites found
2:57:01 PM  [main] 	Initializing Modules
2:57:01 PM  [main] 	Starting Check-Timer
2:57:01 PM  [main] 	Control Panel Ready
2:57:06 PM  [Apache] 	Installing service...
2:57:06 PM  [Apache] 	Successful!
2:57:06 PM  [mysql] 	Installing service...
2:57:06 PM  [mysql] 	Successful!
2:57:07 PM  [filezilla] 	Setting Service Name...
2:57:07 PM  [filezilla] 	Setting Service Display Name...
2:57:07 PM  [filezilla] 	Installing service...
2:57:07 PM  [filezilla] 	Successful!
2:57:08 PM  [Tomcat] 	Installing service...
2:57:08 PM  [Tomcat] 	Service was NOT (un)installed!
2:57:08 PM  [Apache] 	Attempting to start Apache service...
2:57:09 PM  [mysql] 	Attempting to start MySQL service...
2:57:09 PM  [Apache] 	Status change detected: running
2:57:09 PM  [mysql] 	Status change detected: running
3:59:33 PM  [Apache] 	Attempting to stop Apache service...
3:59:34 PM  [mysql] 	Attempting to stop MySQL service...
3:59:35 PM  [mysql] 	Status change detected: stopped
3:59:35 PM  [Apache] 	Status change detected: stopped
3:59:47 PM  [main] 	Deinitializing Modules
3:59:47 PM  [main] 	Deinitializing Control Panel

